,appid,tags,genre
363150,363150,"Strategy, Simulation, Historical, RPG",Simulation
363890,363890,"RPGMaker, Game Development, RPG, Anime","Design & Illustration, Web Publishing"
363970,363970,"Clicker, Free to Play, Casual, Singleplayer","Adventure, Casual, Free to Play, Indie, RPG, Simulation, Strategy"
364360,364360,"Strategy, Fantasy, RTS, War","Action, Strategy"
364470,364470,"Free to Play, Card Game, Multiplayer, Trading Card Game",Free to Play
365360,365360,"Tactical RPG, Turn-Based Combat, Strategy, Medieval","Indie, RPG, Strategy"
365590,365590,"Open World, Looter Shooter, Multiplayer, Third-Person Shooter","Action, Adventure, RPG"
365670,365670,"Animation & Modeling, Design & Illustration, Free to Play, Software","Animation & Modeling, Design & Illustration, Video Production"
365960,365960,"Racing, Automobile Sim, Simulation, Sports","Racing, Simulation, Sports"
367450,367450,"Building, Simulation, Physics, Puzzle","Indie, Simulation"
367500,367500,"RPG, Open World, Character Customization, Action","Action, Adventure, RPG"
367520,367520,"Metroidvania, Souls-like, Platformer, Great Soundtrack","Action, Adventure, Indie"
368070,368070,"Sniper, Open World, Action, Multiplayer",Action
368340,368340,"Action RPG, Pixel Graphics, RPG, Female Protagonist","Action, Adventure, Indie, RPG"
368500,368500,"Assassin, Open World, Action, Stealth","Action, Adventure"
369990,369990,"Board Game, Tabletop, Card Game, Strategy","Indie, Strategy"
370700,370700,"RPG, Indie, Adventure, Casual","Adventure, Casual, Indie, RPG"
371660,371660,"Open World, Survival, Action, Adventure","Action, Adventure"
371970,371970,"Action Roguelike, RPG, Dungeon Crawler, Co-op","Action, Adventure, Indie, RPG"
372000,372000,"MMORPG, Massively Multiplayer, RPG, Anime","Free to Play, Massively Multiplayer, RPG"
373420,373420,"RPG, Turn-Based, Co-op, Adventure","Adventure, Indie, RPG, Strategy"
374040,374040,"Adventure, Sandbox, Multiplayer, RPG","Action, Adventure, RPG"
374280,374280,"FPS, Multiplayer, Free to Play, Action","Action, Free to Play, Massively Multiplayer"
374320,374320,"Souls-like, Dark Fantasy, Difficult, RPG",Action
375450,375450,"Strategy, Historical, Grand Strategy, RPG",Strategy
376210,376210,"Dinosaurs, Survival, Open World, Multiplayer","Action, Adventure, Indie, Massively Multiplayer, Simulation, Early Access"
377160,377160,"Open World, Post-apocalyptic, Exploration, Singleplayer",RPG
377530,377530,"RPG, Martial Arts, Strategy, Turn-Based","Adventure, Casual, RPG, Simulation, Strategy"
377840,377840,"JRPG, Story Rich, Great Soundtrack, Fantasy",RPG
378860,378860,"Racing, Driving, Automobile Sim, Simulation",Racing
379430,379430,"Medieval, RPG, Open World, Realistic","Action, Adventure, RPG"
379720,379720,"FPS, Gore, Action, Shooter",Action
380600,380600,"Fishing, Free to Play, Multiplayer, Simulation","Free to Play, Massively Multiplayer, Simulation, Sports"
381210,381210,"Horror, Survival Horror, Multiplayer, Online Co-Op",Action
382310,382310,"Open World Survival Craft, Survival, Multiplayer, Building","Indie, Simulation, Early Access"
383120,383120,"Simulation, Co-op, Open World Survival Craft, Survival","Adventure, Indie, Simulation, Strategy"
383150,383150,"Zombies, Co-op, Survival, Open World",Action
383180,383180,"Zombies, Co-op, Open World, Multiplayer",Action
383980,383980,"Fighting, 2D Fighter, Pixel Graphics, Multiplayer",Indie
38410,38410,"RPG, Post-apocalyptic, Classic, Isometric",RPG
384180,384180,"Card Game, Free to Play, Multiplayer, Gambling","Casual, Free to Play, Massively Multiplayer, Simulation, Strategy"
384300,384300,"Utilities, Software, Gaming, Hardware","Design & Illustration, Utilities"
385770,385770,"Clicker, Free to Play, Casual, Indie","Action, Casual, Free to Play, Indie"
386070,386070,"RTS, Strategy, Real Time Tactics, Multiplayer","Action, Indie, Strategy"
386180,386180,"Free to Play, Vehicular Combat, Co-op, Combat Racing","Action, Free to Play, Massively Multiplayer, Racing"
386360,386360,"Free to Play, MOBA, Multiplayer, Action","Action, Free to Play"
386940,386940,"Multiplayer, Funny, Platformer, Local Multiplayer","Action, Casual, Indie"
387290,387290,"Atmospheric, Great Soundtrack, Metroidvania, Platformer",Action
387990,387990,"Building, Sandbox, Survival, Open World","Action, Adventure, Indie, Simulation, Early Access"
388080,388080,"Utilities, Software, Indie",Utilities
389430,389430,"Free to Play, MMORPG, Massively Multiplayer, Action","Action, Adventure, Free to Play, Massively Multiplayer, RPG"
389730,389730,"Fighting, Action, Multiplayer, Competitive","Action, Sports"
3900,3900,"Strategy, Turn-Based Strategy, Turn-Based, 4X",Strategy
3910,3910,"Strategy, Turn-Based Strategy, Turn-Based, Classic",Strategy
391220,391220,"Adventure, Action, Female Protagonist, Singleplayer","Action, Adventure"
39140,39140,"JRPG, RPG, Classic, Turn-Based",RPG
391540,391540,"Great Soundtrack, Story Rich, Choices Matter, Multiple Endings","Indie, RPG"
39210,39210,"MMORPG, RPG, Massively Multiplayer, Fantasy","Massively Multiplayer, RPG"
392110,392110,"Strategy, Space, Sci-fi, 4X",Strategy
392160,392160,"Exploration, Sandbox, Building, Economy","Action, Simulation, Strategy"
393080,393080,"FPS, Action, Multiplayer, Singleplayer",Action
393380,393380,"Military, Realistic, FPS, Multiplayer","Action, Indie, Massively Multiplayer, Strategy"
393420,393420,"Survival, FPS, Open World, Multiplayer","Action, Adventure, Simulation"
394360,394360,"Strategy, World War II, Grand Strategy, War","Simulation, Strategy"
394510,394510,"Online Co-Op, Co-op, Twin Stick Shooter, Top-Down Shooter",Action
394690,394690,"Multiplayer, Casual, Mini Golf, Character Customization","Action, Adventure, Casual, Indie, Massively Multiplayer, Racing, Early Access"
39500,39500,"RPG, Open World, Fantasy, Action","Action, RPG"
39510,39510,"RPG, Classic, Open World, Atmospheric","Action, RPG"
39540,39540,"RPG, Strategy, Fantasy, Action","Action, RPG"
397540,397540,"RPG, Action, Looter Shooter, FPS","Action, RPG"
397900,397900,"Board Game, Free to Play, Multiplayer, Strategy","Casual, Free to Play, Indie, Massively Multiplayer, Strategy"
3990,3990,"Strategy, Turn-Based, 4X, Turn-Based Strategy",Strategy
400,400,"Puzzle, Puzzle-Platformer, First-Person, 3D Platformer",Action
4000,4000,"Sandbox, Multiplayer, Funny, Moddable","Indie, Simulation"
400040,400040,"Photo Editing, Utilities, Free to Play, Video Production","Free to Play, Audio Production, Design & Illustration, Photo Editing, Utilities, Video Production, Web Publishing"
400750,400750,"World War II, Strategy, Real Time Tactics, RTS","Action, Simulation, Strategy"
40100,40100,"Strategy, RTS, Sci-fi, Multiplayer",Strategy
402710,402710,"Open World Survival Craft, Horror, Survival, Space","Action, Adventure, Indie, RPG, Early Access"
402840,402840,"Free to Play, Clicker, Casual, Indie","Casual, Free to Play, Indie"
403190,403190,"Colony Sim, City Builder, Base-Building, Space","Indie, Simulation, Strategy"
403640,403640,"Stealth, First-Person, Action, Assassin",Action
404410,404410,"Space, Free to Play, Open World, Sci-fi","Action, Adventure, Free to Play, RPG, Simulation"
40950,40950,"Real Time Tactics, City Builder, Colony Sim, Sandbox","Simulation, Strategy"
40960,40960,"City Builder, Real Time Tactics, Colony Sim, Medieval","Simulation, Strategy"
40970,40970,"Real Time Tactics, City Builder, Colony Sim, Building","Simulation, Strategy"
409710,409710,"FPS, Story Rich, Atmospheric, Horror","Action, RPG"
409720,409720,"FPS, Action, Singleplayer, Story Rich","Action, RPG"
40990,40990,"Action, Classic, Story Rich, Crime","Action, Adventure"
410320,410320,"Action, Third-Person Shooter, Co-op, Aliens",Action
410340,410340,"Simulation, Flight, Racing, Realistic","Indie, Racing, Simulation, Sports"
410900,410900,"Base-Building, Physics, Multiplayer, Destruction","Action, Indie, Strategy"
411300,411300,"RPG, Open World, Singleplayer, Post-apocalyptic","Action, Adventure, RPG"
412020,412020,"Post-apocalyptic, FPS, Open World, Singleplayer",Action
412220,412220,"Online Co-Op, 2D Platformer, Precision Platformer, Free to Play","Action, Free to Play, Indie, Racing"
413150,413150,"Farming Sim, Life Sim, Pixel Graphics, RPG","Indie, RPG, Simulation"
413410,413410,"Anime, Visual Novel, Detective, Mystery",Adventure
