,appid,name,short_description,developer,publisher,genre,tags,type,categories,owners,positive,negative,price,initialprice,discount,ccu,languages,platforms,release_date,required_age,website,header_image
374280,374280,Hired Ops,Hired Ops is a session-based online shooter dedicated to fierce conflicts between rival mercenary groups battling on a global scale.,Absolut Soft LLC,Slashware Interactive,"Action, Free to Play, Massively Multiplayer","FPS, Multiplayer, Free to Play, Action",game,"['Multi-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards', 'In-App Purchases', 'Online PvP', 'PvP']","500,000 .. 1,000,000",8215,4283,0,0,0,415,"English, Russian, Simplified Chinese","{'windows': True, 'mac': False, 'linux': False}",2021/04/13,0,https://www.hiredops.com,https://cdn.akamai.steamstatic.com/steam/apps/374280/header.jpg?t=1650735909
374320,374320,DARK SOULS III,"Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. Prepare yourself and Embrace The Darkness!","FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",Action,"Souls-like, Dark Fantasy, Difficult, RPG",game,"['Multi-player', 'Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","5,000,000 .. 10,000,000",317233,20332,5999,5999,0,5177,"English, French, Italian, German, Spanish - Spain, Polish, Russian, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Japanese, Korean","{'windows': True, 'mac': False, 'linux': False}",2016/04/11,0,,https://cdn.akamai.steamstatic.com/steam/apps/374320/header.jpg?t=1661484182
375450,375450,NOBUNAGA'S AMBITION: Sphere of Influence - Ascension,"The newest release from the Historical Simulation Game landmark series, &quot;Nobunaga's Ambition!&quot; In this release we include &quot;Officer Play&quot; for the first time in the series, allowing players to advance from retainer to Castle Lord and then on to Daimyo.","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Strategy,"Strategy, Historical, Grand Strategy, RPG",game,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']","1,000,000 .. 2,000,000",610,292,5999,5999,0,499,"Japanese, Traditional Chinese, English","{'windows': True, 'mac': False, 'linux': False}",2016/03/23,0,https://www.gamecity.ne.jp/souzou/sr/,https://cdn.akamai.steamstatic.com/steam/apps/375450/header.jpg?t=1661762073
376210,376210,The Isle,Experience fierce open world survival gameplay as you attempt to stay alive on an unforgiving island inhabited by dinosaurs! Hunt. Grow. Survive.,Afterthought LLC,Afterthought LLC,"Action, Adventure, Indie, Massively Multiplayer, Simulation, Early Access","Dinosaurs, Survival, Open World, Multiplayer",game,"['Multi-player', 'Valve Anti-Cheat enabled', 'Partial Controller Support', 'MMO', 'Online PvP', 'PvP']","1,000,000 .. 2,000,000",47213,9514,1999,1999,0,3840,English,"{'windows': True, 'mac': False, 'linux': False}",2015/12/1,0,https://survivetheisle.com,https://cdn.akamai.steamstatic.com/steam/apps/376210/header.jpg?t=1653237914
377160,377160,Fallout 4,"Bethesda Game Studios, the award-winning creators of Fallout 3 and The Elder Scrolls V: Skyrim, welcome you to the world of Fallout 4 – their most ambitious game ever, and the next generation of open-world gaming.",Bethesda Game Studios,Bethesda Softworks,RPG,"Open World, Post-apocalyptic, Exploration, Singleplayer",game,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","5,000,000 .. 10,000,000",238358,53745,1999,1999,0,28148,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Japanese","{'windows': True, 'mac': False, 'linux': False}",2015/11/9,17,http://www.fallout4.com,https://cdn.akamai.steamstatic.com/steam/apps/377160/header.jpg?t=1650909928
377530,377530,侠客风云传(Tale of Wuxia),"Tale of Wuxia has been dedicated to providing gameplayers with a player-defined platform, where they can customize their own Wuxia. Instead of being restricted to characters’ basic properties, in this new version, gameplayers can also choose the personalities and talents of their own.",Heluo Studio,Phoenix Game,"Adventure, Casual, RPG, Simulation, Strategy","RPG, Martial Arts, Strategy, Turn-Based",game,"['Single-player', 'Steam Cloud', 'Steam Trading Cards']","200,000 .. 500,000",4706,1488,1699,1699,0,214,"Simplified Chinese, English, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2016/04/28,0,,https://cdn.akamai.steamstatic.com/steam/apps/377530/header.jpg?t=1617085117
377840,377840,FINAL FANTASY IX,"Selling over five million copies since its release in 2000, FINAL FANTASY IX proudly returns on Steam! Now you can relive the adventures of Zidane and his crew on PC !",Square Enix,Square Enix,RPG,"JRPG, Story Rich, Great Soundtrack, Fantasy",game,"['Single-player', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet']","500,000 .. 1,000,000",8242,504,2099,2099,0,240,"English, French, Italian, German, Spanish - Spain","{'windows': True, 'mac': False, 'linux': False}",2016/04/14,0,http://www.jp.square-enix.com/ff9/en/,https://cdn.akamai.steamstatic.com/steam/apps/377840/header.jpg?t=1596707344
378860,378860,Project CARS 2,"THE ULTIMATE DRIVER JOURNEY! Project CARS 2 delivers the soul of motor racing in the world’s most beautiful, authentic, and technically-advanced racing game.",Slightly Mad Studios,BANDAI NAMCO Entertainment,Racing,"Racing, Driving, Automobile Sim, Simulation",game,"['Multi-player', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Online PvP', 'PvP']","1,000,000 .. 2,000,000",14045,3366,0,0,0,745,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2017/09/21,0,http://www.slightlymadstudios.com/,https://cdn.akamai.steamstatic.com/steam/apps/378860/header.jpg?t=1663714740
379430,379430,Kingdom Come: Deliverance,"Story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents' death as you battle invading forces, go on game-changing quests, and make influential choices. Explore castles, forests, villages and other realistic settings in medieval Bohemia!",Warhorse Studios,"Warhorse Studios, Prime Matter","Action, Adventure, RPG","Medieval, RPG, Open World, Realistic",game,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Full controller support', 'Steam Trading Cards', 'Remote Play on TV']","2,000,000 .. 5,000,000",83228,17660,2999,2999,0,3778,"English, French, German, Spanish - Spain, Czech, Polish, Russian, Italian, Simplified Chinese, Turkish, Korean, Ukrainian","{'windows': True, 'mac': False, 'linux': False}",2018/02/13,18,https://www.kingdomcomerpg.com,https://cdn.akamai.steamstatic.com/steam/apps/379430/header.jpg?t=1659358497
379720,379720,DOOM,"Now includes all three premium DLC packs (Unto the Evil, Hell Followed, and Bloodfall), maps, modes, and weapons, as well as all feature updates including Arcade Mode, Photo Mode, and the latest Update 6.66, which brings further multiplayer improvements as well as revamps multiplayer progression.",id Software,Bethesda Softworks,Action,"FPS, Gore, Action, Shooter",game,"['Multi-player', 'Single-player', 'Co-op', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet']","2,000,000 .. 5,000,000",163070,8051,1999,1999,0,849,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Russian, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2016/05/12,18,http://www.doom.com,https://cdn.akamai.steamstatic.com/steam/apps/379720/header.jpg?t=1593395083
